waterTemperature;outsideTemperature;date
15.5;28.06;27/12/2000
15.5;27.63;28/12/2000
15.5;27.25;29/12/2000
15.5;26.87;30/12/2000
15.5;28.29;31/12/2000
14.3;27.39;01/01/2001
14.3;28.34;02/01/2001
14.3;28.22;03/01/2001
14.3;29.64;04/01/2001
14.3;30.78;05/01/2001
14.3;31.48;06/01/2001
14.3;33.5;07/01/2001
14.3;34.13;08/01/2001
14.3;35.58;09/01/2001
14.3;38.84;10/01/2001
14.3;38.56;11/01/2001
14.3;34.0;12/01/2001
14.3;31.79;13/01/2001
14.3;31.58;14/01/2001
14.3;31.88;15/01/2001
14.3;31.09;16/01/2001
14.3;29.77;17/01/2001
14.3;29.04;18/01/2001
14.3;27.84;19/01/2001
14.3;27.15;20/01/2001
14.3;25.14;21/01/2001
14.3;24.59;22/01/2001
14.3;23.96;23/01/2001
14.3;23.5;24/01/2001
14.3;23.1;25/01/2001
14.3;23.07;26/01/2001
14.3;24.75;27/01/2001
14.3;25.11;28/01/2001
14.3;25.6;29/01/2001
14.3;26.08;30/01/2001
14.3;26.26;31/01/2001
13.8;27.39;01/02/2001
13.8;26.82;02/02/2001
13.8;26.6;03/02/2001
13.8;25.29;04/02/2001
13.8;24.47;05/02/2001
13.8;23.84;06/02/2001
13.8;25.11;07/02/2001
13.8;23.36;08/02/2001
13.8;22.93;09/02/2001
13.8;22.75;10/02/2001
13.8;21.59;11/02/2001
13.8;22.07;12/02/2001
13.8;22.7;13/02/2001
13.8;21.85;14/02/2001
13.8;20.0;15/02/2001
13.8;19.93;16/02/2001
13.8;11.7;17/02/2001
13.8;10.7;18/02/2001
13.8;10.38;19/02/2001
13.8;7.81;20/02/2001
13.8;7.56;21/02/2001
13.8;6.59;22/02/2001
13.8;8.49;23/02/2001
13.8;8.27;24/02/2001
13.8;8.53;25/02/2001
13.8;8.63;26/02/2001
13.8;8.11;27/02/2001
13.8;6.5;28/02/2001
13.8;5.42;01/03/2001
13.8;5.84;02/03/2001
13.8;4.8;03/03/2001
13.8;4.71;04/03/2001
13.8;2.73;05/03/2001
13.8;1.17;06/03/2001
13.8;0.53;07/03/2001
13.8;0.14;08/03/2001
13.8;-0.58;09/03/2001
13.8;-0.01;10/03/2001
13.8;-0.18;11/03/2001
13.8;-0.31;12/03/2001
13.8;-1.24;13/03/2001
13.8;-2.4;14/03/2001
13.8;-2.23;15/03/2001
13.8;-2.1;16/03/2001
13.8;-1.48;17/03/2001
13.8;1.54;18/03/2001
13.8;2.96;19/03/2001
13.8;4.42;20/03/2001
13.8;5.19;21/03/2001
13.8;5.12;22/03/2001
13.8;6.24;23/03/2001
13.8;6.33;24/03/2001
13.8;5.53;25/03/2001
13.8;5.25;26/03/2001
13.8;5.66;27/03/2001
13.8;6.25;28/03/2001
13.8;6.06;29/03/2001
13.8;6.19;30/03/2001
13.8;5.68;31/03/2001
15.2;4.58;01/04/2001
15.2;6.03;02/04/2001
15.2;5.57;03/04/2001
15.2;5.43;04/04/2001
15.2;5.83;05/04/2001
15.2;4.96;06/04/2001
15.2;6.77;07/04/2001
15.2;4.81;08/04/2001
15.2;5.05;09/04/2001
15.2;7.2;10/04/2001
15.2;9.57;11/04/2001
15.2;14.11;12/04/2001
15.2;16.44;13/04/2001
15.2;18.17;14/04/2001
15.2;19.73;15/04/2001
15.2;20.41;16/04/2001
15.2;19.65;17/04/2001
15.2;18.44;18/04/2001
15.2;17.17;19/04/2001
15.2;15.82;20/04/2001
15.2;16.41;21/04/2001
15.2;16.09;22/04/2001
15.2;14.62;23/04/2001
15.2;15.28;24/04/2001
15.2;14.38;25/04/2001
15.2;14.62;26/04/2001
15.2;13.68;27/04/2001
15.2;10.53;28/04/2001
15.2;9.98;29/04/2001
15.2;8.96;30/04/2001
16.5;8.56;01/05/2001
16.5;6.94;02/05/2001
16.5;7.51;03/05/2001
16.5;12.8;04/05/2001
16.5;14.08;05/05/2001
16.5;16.38;06/05/2001
16.5;17.78;07/05/2001
16.5;18.63;08/05/2001
16.5;20.09;09/05/2001
16.5;19.9;10/05/2001
16.5;18.98;11/05/2001
16.5;16.58;12/05/2001
16.5;15.95;13/05/2001
16.5;13.75;14/05/2001
16.5;12.8;15/05/2001
16.5;10.89;16/05/2001
16.5;10.71;17/05/2001
16.5;8.71;18/05/2001
16.5;6.51;19/05/2001
16.5;6.56;20/05/2001
16.5;5.05;21/05/2001
16.5;4.31;22/05/2001
16.5;3.57;23/05/2001
16.5;4.06;24/05/2001
16.5;5.41;25/05/2001
16.5;4.66;26/05/2001
16.5;6.82;27/05/2001
16.5;8.18;28/05/2001
16.5;10.08;29/05/2001
16.5;13.11;30/05/2001
16.5;15.31;31/05/2001
17.3;19.0;01/06/2001
17.3;18.81;02/06/2001
17.3;19.72;03/06/2001
17.3;20.06;04/06/2001
17.3;19.58;05/06/2001
17.3;18.86;06/06/2001
17.3;17.01;07/06/2001
17.3;15.29;08/06/2001
17.3;14.73;09/06/2001
17.3;12.19;10/06/2001
17.3;11.31;11/06/2001
17.3;11.05;12/06/2001
17.3;10.95;13/06/2001
17.3;11.75;14/06/2001
17.3;10.48;15/06/2001
17.3;10.26;16/06/2001
17.3;10.73;17/06/2001
17.3;10.35;18/06/2001
17.3;10.47;19/06/2001
17.3;11.38;20/06/2001
17.3;12.06;21/06/2001
17.3;11.12;22/06/2001
17.3;10.67;23/06/2001
17.3;12.47;24/06/2001
17.3;12.56;25/06/2001
17.3;12.25;26/06/2001
17.3;12.47;27/06/2001
17.3;11.8;28/06/2001
17.3;10.83;29/06/2001
17.3;10.03;30/06/2001
17.2;10.9;01/07/2001
17.2;10.67;02/07/2001
17.2;11.4;03/07/2001
17.2;9.97;04/07/2001
17.2;10.01;05/07/2001
17.2;9.27;06/07/2001
17.2;9.43;07/07/2001
17.2;8.87;08/07/2001
17.2;7.41;09/07/2001
17.2;7.08;10/07/2001
17.2;5.47;11/07/2001
17.2;5.32;12/07/2001
17.2;5.85;13/07/2001
17.2;6.55;14/07/2001
17.2;10.27;15/07/2001
17.2;13.82;16/07/2001
17.2;19.0;17/07/2001
17.2;22.13;18/07/2001
17.2;24.56;19/07/2001
17.2;27.71;20/07/2001
17.2;27.58;21/07/2001
17.2;25.03;22/07/2001
17.2;24.89;23/07/2001
17.2;22.04;24/07/2001
17.2;22.81;25/07/2001
17.2;20.93;26/07/2001
17.2;21.01;27/07/2001
17.2;21.14;28/07/2001
17.2;20.81;29/07/2001
17.2;19.49;30/07/2001
17.2;18.41;31/07/2001
17.6;18.79;01/08/2001
17.6;18.57;02/08/2001
17.6;15.54;03/08/2001
17.6;11.29;04/08/2001
17.6;13.12;05/08/2001
17.6;16.43;06/08/2001
17.6;11.13;07/08/2001
17.6;17.97;08/08/2001
17.6;28.35;09/08/2001
17.6;28.62;10/08/2001
17.6;34.23;11/08/2001
17.6;36.03;12/08/2001
17.6;33.62;13/08/2001
17.6;32.45;14/08/2001
17.6;31.95;15/08/2001
17.6;29.41;16/08/2001
17.6;27.83;17/08/2001
17.6;24.47;18/08/2001
17.6;22.74;19/08/2001
17.6;21.7;20/08/2001
17.6;20.59;21/08/2001
17.6;19.14;22/08/2001
17.6;19.84;23/08/2001
17.6;20.89;24/08/2001
17.6;22.9;25/08/2001
17.6;21.46;26/08/2001
17.6;21.91;27/08/2001
17.6;19.72;28/08/2001
17.6;20.24;29/08/2001
17.6;19.1;30/08/2001
17.6;22.77;31/08/2001
18.1;27.87;01/09/2001
18.1;31.25;02/09/2001
18.1;34.01;03/09/2001
18.1;35.98;04/09/2001
18.1;37.91;05/09/2001
18.1;39.08;06/09/2001
18.1;39.92;07/09/2001
18.1;39.23;08/09/2001
18.1;37.73;09/09/2001
18.1;36.92;10/09/2001
18.1;37.03;11/09/2001
18.1;36.51;12/09/2001
18.1;36.66;13/09/2001
18.1;35.73;14/09/2001
18.1;36.63;15/09/2001
18.1;34.67;16/09/2001
18.1;35.11;17/09/2001
18.1;35.33;18/09/2001
18.1;34.52;19/09/2001
18.1;33.46;20/09/2001
18.1;32.4;21/09/2001
18.1;32.26;22/09/2001
18.1;31.1;23/09/2001
18.1;31.14;24/09/2001
18.1;31.31;25/09/2001
18.1;30.55;26/09/2001
18.1;32.43;27/09/2001
18.1;33.78;28/09/2001
18.1;34.92;29/09/2001
18.1;34.32;30/09/2001
17.7;33.56;01/10/2001
17.7;30.61;02/10/2001
17.7;27.99;03/10/2001
17.7;26.65;04/10/2001
17.7;25.34;05/10/2001
17.7;23.98;06/10/2001
17.7;23.98;07/10/2001
17.7;22.46;08/10/2001
17.7;21.04;09/10/2001
17.7;24.49;10/10/2001
17.7;17.31;11/10/2001
17.7;16.13;12/10/2001
17.7;19.42;13/10/2001
17.7;17.97;14/10/2001
17.7;17.64;15/10/2001
17.7;16.52;16/10/2001
17.7;15.79;17/10/2001
17.7;17.69;18/10/2001
17.7;24.25;19/10/2001
17.7;25.53;20/10/2001
17.7;26.67;21/10/2001
17.7;28.94;22/10/2001
17.7;31.85;23/10/2001
17.7;32.33;24/10/2001
17.7;32.7;25/10/2001
17.7;32.3;26/10/2001
17.7;32.46;27/10/2001
17.7;30.9;28/10/2001
17.7;28.87;29/10/2001
17.7;28.06;30/10/2001
17.7;31.13;31/10/2001
17.0;24.64;01/11/2001
17.0;25.77;02/11/2001
17.0;25.02;03/11/2001
17.0;30.12;04/11/2001
17.0;26.67;05/11/2001
17.0;29.15;06/11/2001
17.0;28.65;07/11/2001
17.0;28.79;08/11/2001
17.0;28.57;09/11/2001
17.0;28.48;10/11/2001
17.0;28.02;11/11/2001
17.0;27.38;12/11/2001
17.0;30.43;13/11/2001
17.0;31.81;14/11/2001
17.0;34.07;15/11/2001
17.0;32.02;16/11/2001
17.0;31.62;17/11/2001
17.0;29.8;18/11/2001
17.0;29.32;19/11/2001
17.0;27.26;20/11/2001
17.0;25.01;21/11/2001
17.0;23.06;22/11/2001
17.0;21.35;23/11/2001
17.0;19.56;24/11/2001
17.0;20.35;25/11/2001
17.0;19.5;26/11/2001
17.0;18.79;27/11/2001
17.0;18.93;28/11/2001
17.0;18.46;29/11/2001
17.0;17.79;30/11/2001
15.5;17.67;01/12/2001
15.5;17.41;02/12/2001
15.5;17.51;03/12/2001
15.5;15.94;04/12/2001
15.5;18.16;05/12/2001
15.5;20.89;06/12/2001
15.5;22.64;07/12/2001
15.5;24.72;08/12/2001
15.5;27.71;09/12/2001
15.5;29.34;10/12/2001
15.5;29.86;11/12/2001
15.5;31.8;12/12/2001
15.5;31.22;13/12/2001
15.5;29.61;14/12/2001
15.5;27.16;15/12/2001
15.5;26.92;16/12/2001
15.5;26.08;17/12/2001
15.5;26.55;18/12/2001
15.5;26.67;19/12/2001
15.5;28.35;20/12/2001
15.5;28.61;21/12/2001
15.5;27.85;22/12/2001
15.5;28.57;23/12/2001
15.5;28.76;24/12/2001
15.5;28.74;25/12/2001
15.5;28.41;26/12/2001
15.5;28.36;27/12/2001
15.5;27.97;28/12/2001
15.5;27.79;29/12/2001
15.5;30.8;30/12/2001
15.5;34.11;31/12/2001
14.3;38.63;01/01/2002
14.3;42.61;02/01/2002
14.3;46.1;03/01/2002
14.3;51.03;04/01/2002
14.3;51.6;05/01/2002
14.3;52.14;06/01/2002
14.3;46.33;07/01/2002
14.3;41.26;08/01/2002
14.3;37.53;09/01/2002
14.3;34.97;10/01/2002
14.3;33.48;11/01/2002
14.3;33.4;12/01/2002
14.3;36.28;13/01/2002
14.3;34.94;14/01/2002
14.3;32.81;15/01/2002
14.3;33.36;16/01/2002
14.3;33.12;17/01/2002
14.3;33.25;18/01/2002
14.3;31.96;19/01/2002
14.3;33.17;20/01/2002
14.3;34.53;21/01/2002
14.3;35.36;22/01/2002
14.3;42.74;23/01/2002
14.3;51.14;24/01/2002
14.3;55.43;25/01/2002
14.3;55.22;26/01/2002
14.3;53.55;27/01/2002
14.3;51.63;28/01/2002
14.3;45.07;29/01/2002
14.3;42.75;30/01/2002
14.3;40.77;31/01/2002
13.8;38.84;01/02/2002
13.8;37.67;02/02/2002
13.8;35.67;03/02/2002
13.8;34.72;04/02/2002
13.8;33.75;05/02/2002
13.8;31.71;06/02/2002
13.8;30.37;07/02/2002
13.8;31.36;08/02/2002
13.8;25.01;09/02/2002
13.8;24.27;10/02/2002
13.8;21.43;11/02/2002
13.8;23.36;12/02/2002
13.8;25.98;13/02/2002
13.8;24.78;14/02/2002
13.8;27.77;15/02/2002
13.8;29.96;16/02/2002
13.8;33.44;17/02/2002
13.8;37.25;18/02/2002
13.8;40.64;19/02/2002
13.8;41.89;20/02/2002
13.8;44.13;21/02/2002
13.8;45.84;22/02/2002
13.8;45.78;23/02/2002
13.8;42.55;24/02/2002
13.8;35.98;25/02/2002
13.8;31.91;26/02/2002
13.8;30.05;27/02/2002
13.8;29.33;28/02/2002
13.8;29.74;01/03/2002
13.8;30.94;02/03/2002
13.8;30.58;03/03/2002
13.8;25.25;04/03/2002
13.8;30.37;05/03/2002
13.8;26.61;06/03/2002
13.8;26.62;07/03/2002
13.8;30.55;08/03/2002
13.8;32.71;09/03/2002
13.8;29.39;10/03/2002
13.8;31.05;11/03/2002
13.8;32.79;12/03/2002
13.8;33.48;13/03/2002
13.8;33.6;14/03/2002
13.8;37.42;15/03/2002
13.8;41.82;16/03/2002
13.8;43.23;17/03/2002
13.8;41.39;18/03/2002
13.8;45.29;19/03/2002
13.8;52.47;20/03/2002
13.8;55.35;21/03/2002
13.8;56.12;22/03/2002
13.8;56.38;23/03/2002
13.8;55.58;24/03/2002
13.8;55.64;25/03/2002
13.8;55.8;26/03/2002
13.8;55.33;27/03/2002
13.8;55.4;28/03/2002
13.8;55.29;29/03/2002
13.8;54.72;30/03/2002
13.8;53.49;31/03/2002
15.2;52.45;01/04/2002
15.2;52.47;02/04/2002
15.2;50.19;03/04/2002
15.2;43.87;04/04/2002
15.2;44.66;05/04/2002
15.2;44.52;06/04/2002
15.2;43.99;07/04/2002
15.2;43.86;08/04/2002
15.2;43.86;09/04/2002
15.2;44.06;10/04/2002
15.2;42.87;11/04/2002
15.2;41.7;12/04/2002
15.2;40.25;13/04/2002
15.2;38.39;14/04/2002
15.2;38.04;15/04/2002
15.2;34.79;16/04/2002
15.2;34.99;17/04/2002
15.2;34.8;18/04/2002
15.2;33.4;19/04/2002
15.2;33.66;20/04/2002
15.2;31.96;21/04/2002
15.2;32.71;22/04/2002
15.2;31.1;23/04/2002
15.2;28.71;24/04/2002
15.2;25.83;25/04/2002
15.2;25.06;26/04/2002
15.2;24.27;27/04/2002
15.2;23.0;28/04/2002
15.2;21.97;29/04/2002
15.2;21.62;30/04/2002
16.5;19.75;01/05/2002
16.5;19.84;02/05/2002
16.5;20.47;03/05/2002
16.5;22.14;04/05/2002
16.5;22.31;05/05/2002
16.5;23.44;06/05/2002
16.5;22.94;07/05/2002
16.5;20.77;08/05/2002
16.5;18.85;09/05/2002
16.5;18.62;10/05/2002
16.5;18.66;11/05/2002
16.5;17.64;12/05/2002
16.5;14.14;13/05/2002
16.5;13.17;14/05/2002
16.5;17.05;15/05/2002
16.5;15.67;16/05/2002
16.5;15.1;17/05/2002
16.5;14.28;18/05/2002
16.5;14.01;19/05/2002
16.5;13.49;20/05/2002
16.5;12.88;21/05/2002
16.5;7.34;22/05/2002
16.5;20.27;23/05/2002
16.5;20.19;24/05/2002
16.5;24.65;25/05/2002
16.5;26.4;26/05/2002
16.5;28.31;27/05/2002
16.5;28.45;28/05/2002
16.5;28.76;29/05/2002
16.5;27.71;30/05/2002
16.5;26.07;31/05/2002
17.3;24.75;01/06/2002
17.3;23.35;02/06/2002
17.3;22.92;03/06/2002
17.3;21.6;04/06/2002
17.3;20.41;05/06/2002
17.3;19.85;06/06/2002
17.3;20.72;07/06/2002
17.3;21.77;08/06/2002
17.3;19.62;09/06/2002
17.3;22.0;10/06/2002
17.3;20.38;11/06/2002
17.3;19.78;12/06/2002
17.3;19.31;13/06/2002
17.3;18.1;14/06/2002
17.3;19.35;15/06/2002
17.3;25.57;16/06/2002
17.3;31.06;17/06/2002
17.3;36.19;18/06/2002
17.3;39.27;19/06/2002
17.3;40.62;20/06/2002
17.3;41.61;21/06/2002
17.3;42.0;22/06/2002
17.3;41.2;23/06/2002
17.3;38.83;24/06/2002
17.3;34.12;25/06/2002
17.3;27.08;26/06/2002
17.3;25.93;27/06/2002
17.3;27.05;28/06/2002
17.3;24.98;29/06/2002
17.3;24.92;30/06/2002
17.2;25.39;01/07/2002
17.2;25.44;02/07/2002
17.2;25.33;03/07/2002
17.2;24.3;04/07/2002
17.2;21.68;05/07/2002
17.2;18.6;06/07/2002
17.2;16.9;07/07/2002
17.2;14.96;08/07/2002
17.2;13.65;09/07/2002
17.2;11.58;10/07/2002
17.2;10.31;11/07/2002
17.2;10.46;12/07/2002
17.2;9.6;13/07/2002
17.2;9.6;14/07/2002
17.2;9.53;15/07/2002
17.2;10.86;16/07/2002
17.2;11.73;17/07/2002
